0.0000000000 	 82961000.0000000000 	 30000.0000000000 	 9000.0000000000  
0.0100000000 	 82960969.6088814735 	 29981.2107906593 	 9024.8560035445  
0.0200000000 	 82960939.1338405758 	 29962.5363056650 	 9049.6140267186  
0.0300000000 	 82960908.5752082765 	 29943.9760259929 	 9074.2745224066  
0.0400000000 	 82960877.9333139807 	 29925.5294349994 	 9098.8379414184  
0.0500000000 	 82960847.2084855884 	 29907.1960184102 	 9123.3047324981  
0.0600000000 	 82960816.4010494947 	 29888.9752643098 	 9147.6753423341  
0.0700000000 	 82960785.5113305748 	 29870.8666631303 	 9171.9502155683  
0.0800000000 	 82960754.5396521986 	 29852.8697076410 	 9196.1297948056  
0.0900000000 	 82960723.4863362312 	 29834.9838929374 	 9220.2145206231  
0.1000000000 	 82960692.3517030776 	 29817.2087164310 	 9244.2048315792  
0.1100000000 	 82960661.1360716522 	 29799.5436778380 	 9268.1011642235  
0.1200000000 	 82960629.8397593647 	 29781.9882791693 	 9291.9039531053  
0.1300000000 	 82960598.4630822092 	 29764.5420247197 	 9315.6136307832  
0.1400000000 	 82960567.0063546896 	 29747.2044210577 	 9339.2306278340  
0.1500000000 	 82960535.4698898494 	 29729.9749770148 	 9362.7553728620  
0.1600000000 	 82960503.8539993018 	 29712.8532036751 	 9386.1882925078  
0.1700000000 	 82960472.1589931995 	 29695.8386143654 	 9409.5298114574  
0.1800000000 	 82960440.3851802647 	 29678.9307246443 	 9432.7803524513  
0.1900000000 	 82960408.5328678191 	 29662.1290522927 	 9455.9403362932  
0.2000000000 	 82960376.6023617387 	 29645.4331173029 	 9479.0101818591  
0.2100000000 	 82960344.5939664841 	 29628.8424418689 	 9501.9903061057  
0.2200000000 	 82960312.5079851151 	 29612.3565503762 	 9524.8811240799  
0.2300000000 	 82960280.3447193056 	 29595.9749693919 	 9547.6830489268  
0.2400000000 	 82960248.1044692993 	 29579.6972276543 	 9570.3964918990  
0.2500000000 	 82960215.7875339538 	 29563.5228560634 	 9593.0218623650  
0.2600000000 	 82960183.3942107856 	 29547.4513876708 	 9615.5595678178  
0.2700000000 	 82960150.9247958958 	 29531.4823576698 	 9638.0100138837  
0.2800000000 	 82960118.3795840144 	 29515.6153033856 	 9660.3736043306  
0.2900000000 	 82960085.7588685304 	 29499.8497642655 	 9682.6507410768  
0.3000000000 	 82960053.0629414767 	 29484.1852818695 	 9704.8418241992  
0.3100000000 	 82960020.2920935154 	 29468.6213998601 	 9726.9472519419  
0.3200000000 	 82959987.4466139674 	 29453.1576639931 	 9748.9674207246  
0.3300000000 	 82959954.5267908275 	 29437.7936221076 	 9770.9027251510  
0.3400000000 	 82959921.5329107493 	 29422.5288241169 	 9792.7535580169  
0.3500000000 	 82959888.4652590603 	 29407.3628219986 	 9814.5203103188  
0.3600000000 	 82959855.3241197616 	 29392.2951697856 	 9836.2033712618  
0.3700000000 	 82959822.1097755432 	 29377.3254235561 	 9857.8031282683  
0.3800000000 	 82959788.8225077987 	 29362.4531414246 	 9879.3199669855  
0.3900000000 	 82959755.4625966102 	 29347.6778835325 	 9900.7542712941  
0.4000000000 	 82959722.0303207487 	 29332.9992120389 	 9922.1064233164  
0.4100000000 	 82959688.5259577185 	 29318.4166911112 	 9943.3768034237  
0.4200000000 	 82959654.9497837275 	 29303.9298869159 	 9964.5657902453  
0.4300000000 	 82959621.3020737171 	 29289.5383676095 	 9985.6737606755  
0.4400000000 	 82959587.5831013322 	 29275.2417033294 	 10006.7010898825  
0.4500000000 	 82959553.7931389660 	 29261.0394661848 	 10027.6481513154  
0.4600000000 	 82959519.9324577451 	 29246.9312302478 	 10048.5153167127  
0.4700000000 	 82959486.0013275445 	 29232.9165715439 	 10069.3029561101  
0.4800000000 	 82959452.0000169873 	 29218.9950680437 	 10090.0114378480  
0.4900000000 	 82959417.9287934601 	 29205.1662996537 	 10110.6411285795  
0.5000000000 	 82959383.7879230976 	 29191.4298482073 	 10131.1923932779  
0.5100000000 	 82959349.5776708126 	 29177.7852974562 	 10151.6655952449  
0.5200000000 	 82959315.2983002961 	 29164.2322330613 	 10172.0610961175  
0.5300000000 	 82959280.9500740021 	 29150.7702425845 	 10192.3792558765  
0.5400000000 	 82959246.5332531780 	 29137.3989154794 	 10212.6204328533  
0.5500000000 	 82959212.0480978489 	 29124.1178430828 	 10232.7849837381  
0.5600000000 	 82959177.4948668480 	 29110.9266186065 	 10252.8732635868  
0.5700000000 	 82959142.8738178015 	 29097.8248371279 	 10272.8856258292  
0.5800000000 	 82959108.1852071583 	 29084.8120955822 	 10292.8224222757  
0.5900000000 	 82959073.4292901605 	 29071.8879927536 	 10312.6840031254  
0.6000000000 	 82959038.6063208729 	 29059.0521292666 	 10332.4707169730  
0.6100000000 	 82959003.7165521830 	 29046.3041075780 	 10352.1829108165  
0.6200000000 	 82958968.7602358162 	 29033.6435319682 	 10371.8209300642  
0.6300000000 	 82958933.7376223058 	 29021.0700085328 	 10391.3851185422  
0.6400000000 	 82958898.6489610672 	 29008.5831451746 	 10410.8758185017  
0.6500000000 	 82958863.4945003092 	 28996.1825515951 	 10430.2933706259  
0.6600000000 	 82958828.2744871229 	 28983.8678392862 	 10449.6381140375  
0.6700000000 	 82958792.9891674519 	 28971.6386215221 	 10468.9103863059  
0.6800000000 	 82958757.6387860775 	 28959.4945133511 	 10488.1105234540  
0.6900000000 	 82958722.2235866636 	 28947.4351315876 	 10507.2388599654  
0.7000000000 	 82958686.7438117564 	 28935.4600948037 	 10526.2957287918  
