0.2 	1 	2 	3 	4 	5 	6 	7 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.355762 	1.83846 	3.04846 	3.35283 	4.05733 	5.00549 	6.00034 	7.00002 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.371293 	1.7228 	3.0958 	3.40745 	4.072 	5.00746 	6.0005 	7.00002 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.372067 	1.59986 	3.13249 	3.46563 	4.08938 	5.01 	6.00073 	7.00004 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.359311 	1.47249 	3.15715 	3.52676 	4.10973 	5.01324 	6.00104 	7.00006 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.334565 	1.34361 	3.1686 	3.59006 	4.13329 	5.01732 	6.00146 	7.00009 	8 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.299629 	1.2162 	3.16594 	3.65461 	4.16027 	5.02239 	6.00202 	7.00013 	8.00001 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.256491 	1.09315 	3.1486 	3.71936 	4.19083 	5.02864 	6.00277 	7.00019 	8.00001 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.207261 	0.977195 	3.11632 	3.78315 	4.22506 	5.03625 	6.00375 	7.00027 	8.00001 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.154102 	0.870842 	3.06924 	3.84471 	4.26301 	5.04541 	6.00501 	7.00038 	8.00002 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.099157 	0.776299 	3.00783 	3.90272 	4.30461 	5.05635 	6.00663 	7.00054 	8.00003 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.044486 	0.695406 	2.93296 	3.95581 	4.34974 	5.06927 	6.00869 	7.00075 	8.00005 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.00799367 	0.629591 	2.84586 	4.00261 	4.39814 	5.08439 	6.01126 	7.00103 	8.00007 	9 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0565611 	0.579834 	2.74808 	4.04178 	4.44948 	5.10191 	6.01447 	7.00141 	8.0001 	9.00001 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0997366 	0.546643 	2.64149 	4.07208 	4.5033 	5.12204 	6.01841 	7.0019 	8.00014 	9.00001 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.136316 	0.530048 	2.52818 	4.09235 	4.55902 	5.14496 	6.02322 	7.00254 	8.0002 	9.00001 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.165396 	0.529613 	2.41049 	4.10162 	4.61596 	5.1708 	6.02904 	7.00336 	8.00028 	9.00002 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.186386 	0.544454 	2.29087 	4.09906 	4.67333 	5.19969 	6.03602 	7.0044 	8.00039 	9.00003 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.199016 	0.573279 	2.17184 	4.08411 	4.73024 	5.23168 	6.04432 	7.00572 	8.00053 	9.00004 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.203321 	0.614435 	2.05595 	4.05644 	4.78573 	5.2668 	6.0541 	7.00737 	8.00072 	9.00005 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.199633 	0.66597 	1.94567 	4.01599 	4.83875 	5.305 	6.06554 	7.00942 	8.00097 	9.00008 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.188547 	0.725696 	1.84333 	3.963 	4.88822 	5.34616 	6.07881 	7.01194 	8.00129 	9.00011 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.170889 	0.791265 	1.75106 	3.89798 	4.93302 	5.39009 	6.09409 	7.01502 	8.00171 	9.00015 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.14768 	0.860249 	1.67073 	3.82177 	4.97205 	5.43651 	6.11154 	7.01876 	8.00225 	9.0002 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.120083 	0.930214 	1.60388 	3.73549 	5.0042 	5.48505 	6.13132 	7.02326 	8.00292 	9.00027 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0893625 	0.998796 	1.5517 	3.64051 	5.02847 	5.53527 	6.15355 	7.02863 	8.00378 	9.00037 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0568306 	1.06378 	1.51497 	3.53846 	5.0439 	5.58662 	6.17836 	7.03501 	8.00484 	9.0005 	10 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0237998 	1.12315 	1.49407 	3.43118 	5.04967 	5.63849 	6.20583 	7.04251 	8.00617 	9.00067 	10.0001 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.00846406 	1.17517 	1.48894 	3.32067 	5.04511 	5.69016 	6.236 	7.05128 	8.0078 	9.00088 	10.0001 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.038785 	1.21842 	1.4991 	3.20906 	5.02972 	5.74086 	6.26887 	7.06146 	8.00979 	9.00115 	10.0001 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0661147 	1.25181 	1.52364 	3.09854 	5.00318 	5.78974 	6.3044 	7.0732 	8.01221 	9.0015 	10.0001 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0895649 	1.27465 	1.56131 	2.99131 	4.9654 	5.83592 	6.34249 	7.08664 	8.01514 	9.00195 	10.0002 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.108432 	1.28662 	1.6105 	2.88954 	4.91653 	5.87846 	6.38297 	7.10192 	8.01864 	9.0025 	10.0003 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.122214 	1.28779 	1.66931 	2.79527 	4.85696 	5.91643 	6.42561 	7.11919 	8.02281 	9.0032 	10.0003 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.130623 	1.27858 	1.73562 	2.7104 	4.7873 	5.9489 	6.47011 	7.13855 	8.02775 	9.00406 	10.0005 	11 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.13358 	1.25977 	1.80715 	2.63661 	4.70842 	5.97496 	6.5161 	7.16013 	8.03356 	9.00512 	10.0006 	11.0001 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.131218 	1.23242 	1.88152 	2.5753 	4.62144 	5.99375 	6.56314 	7.18401 	8.04035 	9.00642 	10.0008 	11.0001 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.12386 	1.19786 	1.95634 	2.5276 	4.52766 	6.00449 	6.61071 	7.21025 	8.04823 	9.008 	10.001 	11.0001 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.112003 	1.15762 	2.02927 	2.49426 	4.42861 	6.0065 	6.65823 	7.23888 	8.05734 	9.00991 	10.0013 	11.0001 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0962937 	1.11337 	2.09811 	2.47571 	4.32595 	5.99922 	6.70505 	7.2699 	8.06778 	9.01221 	10.0017 	11.0002 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0774956 	1.06685 	2.16082 	2.47197 	4.22149 	5.98223 	6.75048 	7.30326 	8.07968 	9.01495 	10.0021 	11.0002 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0564582 	1.01982 	2.21565 	2.48272 	4.11712 	5.95528 	6.79377 	7.33887 	8.09318 	9.01822 	10.0027 	11.0003 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.034081 	0.974004 	2.26112 	2.50722 	4.01478 	5.91828 	6.83413 	7.37658 	8.10838 	9.02207 	10.0034 	11.0004 	12 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0112786 	0.930999 	2.29609 	2.54443 	3.9164 	5.87136 	6.87076 	7.4162 	8.12541 	9.02661 	10.0042 	11.0005 	12.0001 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0110546 	0.892262 	2.31981 	2.59295 	3.82386 	5.81483 	6.90285 	7.45747 	8.14435 	9.0319 	10.0053 	11.0007 	12.0001 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0320764 	0.859038 	2.33189 	2.65113 	3.73894 	5.74922 	6.92961 	7.50008 	8.16531 	9.03805 	10.0065 	11.0009 	12.0001 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0510269 	0.832332 	2.33233 	2.71704 	3.66329 	5.67527 	6.95025 	7.54365 	8.18835 	9.04516 	10.008 	11.0011 	12.0001 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0672538 	0.812879 	2.32153 	2.78861 	3.59834 	5.59389 	6.96408 	7.58775 	8.21351 	9.05332 	10.0098 	11.0014 	12.0002 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0802329 	0.801128 	2.30023 	2.86364 	3.54531 	5.50622 	6.97041 	7.63188 	8.24082 	9.06265 	10.012 	11.0018 	12.0002 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0895835 	0.79723 	2.26949 	2.93987 	3.50514 	5.41353 	6.9687 	7.6755 	8.27027 	9.07326 	10.0146 	11.0022 	12.0003 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0950773 	0.80105 	2.23066 	3.01504 	3.47847 	5.31727 	6.95848 	7.71802 	8.30181 	9.08525 	10.0176 	11.0028 	12.0004 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0966419 	0.812175 	2.18532 	3.08699 	3.46563 	5.21901 	6.93942 	7.75878 	8.33535 	9.09873 	10.0212 	11.0035 	12.0005 	13 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0943578 	0.829937 	2.13523 	3.15366 	3.46663 	5.1204 	6.9113 	7.79713 	8.37078 	9.1138 	10.0253 	11.0043 	12.0006 	13.0001 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0884505 	0.85345 	2.08224 	3.21324 	3.48111 	5.02315 	6.8741 	7.83236 	8.40791 	9.13056 	10.0301 	11.0053 	12.0007 	13.0001 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0792764 	0.881646 	2.02826 	3.26412 	3.50842 	4.92898 	6.82793 	7.86377 	8.44652 	9.14909 	10.0357 	11.0065 	12.0009 	13.0001 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0673055 	0.913319 	1.97518 	3.30502 	3.54757 	4.8396 	6.77309 	7.89064 	8.48634 	9.16947 	10.0421 	11.0079 	12.0012 	13.0001 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0530993 	0.947171 	1.9248 	3.33496 	3.59728 	4.75665 	6.71004 	7.9123 	8.52705 	9.19174 	10.0495 	11.0097 	12.0015 	13.0002 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0372863 	0.981869 	1.87878 	3.35333 	3.65603 	4.68167 	6.63944 	7.92807 	8.56827 	9.21595 	10.0579 	11.0117 	12.0019 	13.0002 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.0205362 	1.01609 	1.83858 	3.3599 	3.72206 	4.61604 	6.5621 	7.93734 	8.60958 	9.24211 	10.0674 	11.0141 	12.0023 	13.0003 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
0.00353288 	1.04856 	1.80543 	3.35478 	3.79345 	4.56098 	6.47902 	7.93957 	8.6505 	9.2702 	10.0781 	11.0169 	12.0029 	13.0004 	14 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0130525 	1.07813 	1.78028 	3.33847 	3.86816 	4.51748 	6.39132 	7.93428 	8.69053 	9.30018 	10.0901 	11.0202 	12.0035 	13.0005 	14.0001 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0285862 	1.10377 	1.76376 	3.31179 	3.94408 	4.48629 	6.30028 	7.9211 	8.72909 	9.33197 	10.1035 	11.024 	12.0043 	13.0006 	14.0001 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0424956 	1.12464 	1.7562 	3.27587 	4.0191 	4.46788 	6.20728 	7.89976 	8.76561 	9.36546 	10.1184 	11.0284 	12.0053 	13.0008 	14.0001 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0542889 	1.14011 	1.7576 	3.23213 	4.09116 	4.46244 	6.1138 	7.87013 	8.79948 	9.40049 	10.1349 	11.0334 	12.0064 	13.001 	14.0001 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
-0.0635714 	1.14975 	1.76764 	3.18217 	4.15832 	4.46988 	6.02134 	7.8322 	8.83007 	9.43686 	10.153 	11.0392 	12.0078 	13.0012 	14.0002 	15 	16 	17 	18 	19 	20 	21 	22 	23 	24 	25 	26 	27 	28 	29 	
