27.782	444
32.889	476
37.889	371
42.889	360
47.889	315
52.89	278
57.889	292
62.889	214
67.89	233
72.89	240
77.889	168
82.889	177
87.889	173
92.89	170
97.889	126
102.89	115
107.89	114
112.89	90
117.889	99
122.89	96
127.889	101
132.89	80
137.889	95
142.889	64
147.889	96
152.89	71
157.889	75
162.889	69
167.889	70
172.889	58
177.889	75
182.89	51
187.89	74
192.889	49
197.889	75
202.889	33
207.89	42
212.89	42
217.89	49
222.889	37
227.89	39
232.89	43
237.89	44
242.89	51
247.89	34
252.89	38
257.89	33
262.889	29
267.89	48
272.89	31
277.889	26
282.89	26
287.889	28
292.889	27
297.89	26
302.89	24
307.889	36
312.889	31
317.89	19
322.89	31
327.889	25
332.889	30
337.89	17
342.889	34
347.89	17
352.89	23
357.889	25
362.89	18
367.889	29
372.89	24
377.889	24
382.89	21
387.89	17
392.89	18
397.889	26
402.889	22
407.89	15
412.89	17
417.889	17
422.89	20
427.89	23
432.89	17
437.889	14
442.889	15
447.89	22
452.889	14
457.889	15
462.89	10
467.89	7
472.89	10
477.889	14
482.889	23
487.89	14
492.89	15
497.889	13
502.89	12
507.89	15
512.89	17
517.89	11
522.89	4
527.89	5
532.89	4
537.89	13
542.89	7
547.89	7
552.89	11
557.89	8
562.889	9
567.889	5
572.89	11
577.889	1
582.89	6
587.889	7
592.889	8
597.89	7
602.89	4
607.889	6
612.89	8
617.889	5
622.89	6
627.89	5
632.889	9
637.89	3
642.889	5
647.89	14
652.89	7
657.889	9
662.89	10
667.89	14
672.889	5
677.889	9
