0.30	1.70	1.97
0.31	1.75	1.97
0.32	1.78	1.96
0.33	1.80	1.93
0.34	1.80	1.90
0.35	1.76	1.87
0.36	1.71	1.89
0.37	1.69	1.92
0.38	1.68	1.95
0.39	1.67	1.97
0.40	1.67	1.97
0.41	1.65	1.98
0.42	1.64	1.97
0.43	1.61	1.96
0.44	1.58	1.94
0.45	1.54	1.91
0.46	1.48	1.87
0.47	1.39	1.83
0.48	1.25	1.78
0.49	1.06	1.77
0.50	0.85	1.83
0.51	0.66	1.96
0.52	0.53	2.13
0.53	0.44	2.29
0.54	0.37	2.45
0.55	0.32	2.60
0.56	0.28	2.74
0.57	0.25	2.87
0.58	0.23	3.00
0.59	0.21	3.12
0.60	0.19	3.24
0.61	0.17	3.36
0.62	0.16	3.47
0.63	0.15	3.58
0.64	0.14	3.69
0.65	0.13	3.79
0.66	0.12	3.90
0.67	0.11	4.00
0.68	0.11	4.10
0.69	0.10	4.21
0.70	0.10	4.31
0.71	0.10	4.40
0.72	0.10	4.50
0.73	0.10	4.60
0.74	0.10	4.69
0.75	0.10	4.78
0.76	0.10	4.87
0.77	0.10	4.96
0.78	0.10	5.05
0.79	0.10	5.15
0.80	0.10	5.22
0.81	0.11	5.31
0.82	0.10	5.41
0.83	0.10	5.49
0.84	0.11	5.58
0.85	0.11	5.66
0.86	0.11	5.75
0.87	0.11	5.83
0.88	0.11	5.91
0.89	0.12	5.99
0.90	0.12	6.08
0.91	0.12	6.16
0.92	0.12	6.24
0.93	0.12	6.33
0.94	0.12	6.41
0.95	0.12	6.49
0.96	0.12	6.57
0.97	0.13	6.66
0.98	0.13	6.74
0.99	0.13	6.82
1.00	0.13	6.90
1.01	0.13	6.98
1.02	0.14	7.06
1.03	0.14	7.14
1.04	0.14	7.22
1.05	0.14	7.30
1.06	0.13	7.41
1.07	0.14	7.48
1.08	0.14	7.56
1.09	0.14	7.64
1.10	0.14	7.72
1.11	0.14	7.80
1.12	0.14	7.87
1.13	0.14	7.96
1.14	0.14	8.05
1.15	0.14	8.11
1.16	0.15	8.20
1.17	0.15	8.27
1.18	0.15	8.35
1.19	0.15	8.44
1.20	0.15	8.52
