0.30	1.35	1.68
0.31	1.32	1.74
0.32	1.30	1.78
0.33	1.28	1.82
0.34	1.26	1.86
0.35	1.23	1.90
0.36	1.21	1.94
0.37	1.18	1.99
0.38	1.17	2.05
0.39	1.14	2.09
0.40	1.12	2.14
0.41	1.10	2.19
0.42	1.08	2.25
0.43	1.07	2.31
0.44	1.06	2.36
0.45	1.05	2.41
0.46	1.04	2.46
0.47	1.04	2.51
0.48	1.04	2.55
0.49	1.04	2.58
0.50	1.03	2.60
0.51	1.02	2.61
0.52	1.00	2.61
0.53	0.96	2.60
0.54	0.90	2.58
0.55	0.80	2.56
0.56	0.65	2.57
0.57	0.47	2.63
0.58	0.31	2.77
0.59	0.21	2.95
0.60	0.15	3.12
0.61	0.13	3.28
0.62	0.12	3.42
0.63	0.11	3.55
0.64	0.11	3.67
0.65	0.10	3.78
0.66	0.10	3.88
0.67	0.10	3.98
0.68	0.10	4.08
0.69	0.10	4.18
0.70	0.10	4.27
0.71	0.10	4.37
0.72	0.10	4.45
0.73	0.10	4.54
0.74	0.10	4.63
0.75	0.10	4.72
0.76	0.10	4.81
0.77	0.10	4.89
0.78	0.10	4.99
0.79	0.10	5.06
0.80	0.11	5.14
0.81	0.11	5.23
0.82	0.10	5.31
0.83	0.11	5.40
0.84	0.11	5.47
0.85	0.11	5.56
0.86	0.11	5.64
0.87	0.11	5.72
0.88	0.11	5.80
0.89	0.11	5.87
0.90	0.11	5.96
0.91	0.11	6.04
0.92	0.11	6.11
0.93	0.12	6.19
0.94	0.12	6.27
0.95	0.12	6.35
0.96	0.12	6.43
0.97	0.12	6.51
0.98	0.12	6.59
0.99	0.12	6.67
1.00	0.12	6.74
1.01	0.12	6.82
1.02	0.13	6.89
1.03	0.13	6.98
1.04	0.13	7.05
1.05	0.13	7.13
1.06	0.12	7.21
1.07	0.12	7.29
1.08	0.13	7.37
1.09	0.13	7.45
1.10	0.13	7.53
1.11	0.13	7.61
1.12	0.13	7.68
1.13	0.13	7.74
1.14	0.13	7.83
1.15	0.13	7.90
1.16	0.13	7.98
1.17	0.13	8.06
1.18	0.13	8.14
1.19	0.13	8.21
1.20	0.13	8.28
